LibroId,Titulo,Autor,Editorial,AñoEdicion,Tipo,Remitente,NivelEducativo,CondicionLibro,AñoRecepcion,Cantidad
42,Tala,Gabriela Mistral,E. RETIÑO BOGOTA,1985,22,Donación,Secundaria,B,1997,2
43,Penas del Joven Werther,Johann Wolfgang Goethe,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
44,Guillermo Tell,Friedrich von Schiller,E. LA MONTAÑA MAGICA,1987,1,Donación,Secundaria,B,1997,2
45,El príncipe,Nicolás Maquiavelo,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
46,Azul,Rubén Darío,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
47,Madame Bovary (I),Gustave Flaubert,E. LA MONTAÑA MAGICA,1987,1,Donación,Secundaria,B,1997,2
48,Madame Bovary,Gustave Flaubert,E. ORBIS,1982,1,Donación,Secundaria,B,1999,1
49,Prometeo Encadenado,Esquilo,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
50,Don Juan Tenorio,José Zorrilla,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
51,La metamorfosis,Franz Kafka,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
52,La vida es sueño,Pedro Calderón de la Barca,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
53,Casas muertas,Miguel Otero Silva,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
54,Cándido,Voltaire,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
55,Papa Goriot,Honoré de Balzac,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
56,La vorágine,José Eustasio Rivera,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
57,La Celestina,Fernando de Rojas,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
58,El Moro,José Manuel Marroquín,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
59,La Divina Comedia,Dante Alighieri,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
60,El cantar de Mío Cid,Anónimo,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
61,El Lazarillo de Tormes,Anónimo,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
62,El Lazarillo de Tormes,Anónimo,BANCO DE LA NACION,1987,1,Donación,Secundaria,B,1999,1
63,Poesía,Garcilaso de la Vega,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
64,Diálogos,Platón,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
65,Hamlet,William Shakespeare,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,2
66,Poesía,Luis de Góngora,E. LA MONTAÑA MAGICA,1986,1,Donación,Secundaria,B,1997,1
67,7 Ensayos de Interpretación de la Realidad PeruanaS1,José Carlos Mariátegui,E. CUMBRE,,1,Donación,Secundaria,B,2008,1
68,7 Ensayos de Interpretación de la Realidad PeruanaS1,José Carlos Mariátegui,E. AMAUTA S.A,1974,1,Donación,Secundaria,C,2008,1
69,Antonio Azorín,José Martínez Ruiz,E. Labor,1970,1,Donación,Secundaria,B,2008,1
70,Novelas ejemplares,Miguel de Cervantes Saavedra,E. NUEVO MUNDO,,1,Donación,Secundaria,B,1988,1
71,La envestida del carnero y otros cuentos norteños,Teodoro Garcés,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,2010,1
72,Pasión por Vallejo,Francisco J. Castañón,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,1997,3
73,Biografía de Martín Adán,José Antonio Bravo,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,1997,2
74,Llanto Sagrado de la América Meridional,Fray Francisco Romero,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,2010,3
75,Aportes para el Estudio de la Narrativa,José Antonio Bravo,E. PARAMONGA S.A,1982,1,Donación,Secundaria,B,1997,3
76,Técnicas Narrativas,José Antonio Bravo,E. PARAMONGA S.A,1984,1,Donación,Secundaria,B,2008,2
77,Puruchuco,Arturo Jiménez Borja,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,2010,2
78,Las aventuras de leer,Danilo Sánchez Lihón,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,1997,3
79,Historia de la monja Alférez,Catalina de Erauso,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,2008,1
80,Machupicchu,Luis Valcárcel,E. PARAMONGA S.A,1988,1,Donación,Secundaria,B,2010,1
81,El kero,José Sabogal,E. PARAMONGA S.A,1989,1,Donación,Secundaria,B,1997,1
82,El ponche de los deseos,Michael Ende,E. HEMISFERIO,1989,1,Donación,Secundaria,B,2005,1
83,La casa de cartón,Martín Adán,E. PEISA,2005,1,Donación,Secundaria,A,2005,1
84,Eso no me lo quita nadie,Ana María Machado,E. NORMA,2005,1,Donación,Secundaria,A,2005,1
85,El disco mágico,Jordi Sierra i Fabra,E. NORMA,2001,1,Donación,Secundaria,A,2005,1
86,El muchacho que inventaba historias,Margaret Mahy,E. NORMA,1998,1,Donación,Secundaria,A,2005,1
87,Seis personajes en busca de autor,Luigi Pirandello,E. OCEANO,1998,1,Donación,Secundaria,B,2005,1
88,Recuerdo de Solferino,Henry Dunant,COMITE INTERNACIONAL DE LA CRUZ ROJA,1982,1,Donación,Secundaria,A,1999,1
89,Casa de muñecas,Henryk Ibsen,E. OCEANO,1999,1,Donación,Secundaria,B,2005,1
90,El cero y el infinito,Arthur Koestler,E. EMECE,1972,1,Donación,Secundaria,B,1999,1
91,La indagación,Peter Weiss,E. GRIJALBO,1968,1,Donación,Secundaria,B,2020,1
92,"Kavik, el perro lobo",Walt Morey,E. SM,1997,1,Donación,Secundaria,B,2022,1
93,Cuentos Peruanos,varios autores,E. GAVIOTA,None,1,Donación,Secundaria,B,2008,1
94,Suma cadáveres,Juan Carlos Onetti,E. LA OVEJA NEGRA,1984,1,Donación,Secundaria,B,1997,2
95,El siglo de las luces,Alejo Carpentier,E. LA OVEJA NEGRA,1984,1,Donación,Secundaria,B,1997,2
96,El gato negro,Edgar Allan Poe,E. VICENS VIVES,1996,1,Donación,Secundaria,B,2005,4
97,El viejo mal de melancolía,Mario A. Malpartida Besada,EMPRESA PERIDISTICA PERU,2002,1,Donación,Secundaria,B,2004,2
98,Las lanzas coloradas,Arturo Uslar Pietri,E. LA OVEJA NEGRA,1984,1,Donación,Secundaria,B,1997,2
99,Veva,Carmen Kurtz,E. NOGUER,1985,1,Donación,Secundaria,B,1998,1
100,Los escarabajos vuelan alrededor,María Gripe,E. HEMISFERIO,1983,1,Donación,Secundaria,B,2005,1
101,Encuentro de los mundos,VARIOS AUTORES,BANCO DE LA NACIÒN,1993,1,Donación,Secundaria,B,2008,1
102,La palabra del mudo,Julio Ramón Ribeyro,E. PEISA,2005,1,Donación,Secundaria,A,2005,1
103,Cero a la izquierda,Andreu Martin,E. ANAYA,1993,1,Donación,Secundaria,B,1998,1
104,Antología Poética,Rubén Darío,E. SANTILLANA,1980,1,Donación,Secundaria,B,2008,1
105,Edipo Rey-Electra-Antigona,Sófocles,E. CULTURA PERUANA,2002,1,Donación,Secundaria,B,2008,1
106,Edipo Rey,Sófocles,E. NORMA,2002,1,Donación,Secundaria,A,2008,1
107,Facundo,Domingo Faustino Sarmiento,E. ARIEL UNIVERSAL,1974,1,Donación,Secundaria,B,1986,1
108,La ciudad de los tísicos,Abraham Valdelomar,E. PEISA,1973,1,Donación,Secundaria,B,1988,1
109,Canta claro,Rómulo Gallegos,E. LATINOAMERICANA,1958,1,Donación,Secundaria,C,1988,1
110,Harry Potter,J. K. Rowling,E. SALAMANDA.,2000,1,Donación,Secundaria,B,2005,1
111,El sargento canuto,Manuel Ascencio Segura,E. LA PAZ,2000,1,Donación,Secundaria,B,2008,1
112,Aves sin nido,Clorinda Matto de Turner,E. IMPACTO CULTURAL,2011,1,Donación,Secundaria,C,,1
113,De la tierra a la luna,Julio Verne,E. TORIBIO ANYARIN INJANTE,2001,1,Donación,Secundaria,B,,1
114,El Diario de Ana Frank,Ana Frank,E. CULTURA EDITORES,2012,1,Donación,Secundaria,B,,1
115,Pan y libertad,Andrés Townsend Ezcurra,E. PUEBLO,1968,1,Donación,Secundaria,B,1990,1
116,Paco Yunque,César Vallejo,E. CHIRRE S.A,2003,1,Donación,Secundaria,C,2007,1
117,Morir en la Pedreda,Jorge Nájar,E. SIGNO,1990,1,Donación,Secundaria,B,2008,1
118,Romeo y Julieta,William Shakespeare,E. BRUÑO,2005,1,Donación,Secundaria,B,2005,1
119,Romeo y Julieta,William Shakespeare,E. MERCURIO S.A,,1,Donación,Secundaria,C,1998,1
120,Sinforoso Benites,Dagoberto Torres,E. LIBRO AMIGO,1990,1,Donación,Secundaria,B,2008,1
121,Nieve de Julio,Concha López Narváez,E. EDEBÈ,1998,1,Donación,Secundaria,B,1998,1
122,Tres historias de amor,Samuel Cardich,E. ALBATROS,2002,1,Donación,Secundaria,A,,1
123,Malos Tiempos,Samuel Cardich,E. SAN MARCOS,2006,1,Donación,Secundaria,A,,1
124,En la noche infinita,Miguel de la Mata,EMPRESA PERIDISTICA PERU,2009,1,Donación,Secundaria,A,,1
125,Las Memorias de Túpac Amaru,Juan Bautista,E. LITROGRAFIA UNIVERSO,1945,1,Donación,Secundaria,B,1998,1
126,Vida del Buscon Don Pablo,Francisco de Quevedo,BANCO DE LA NACION,1987,1,Donación,Secundaria,B,1999,1
127,Un grito desesperado,Carlos Cuauhtémoc Sánchez,E. SELECTAS DIAMANTE S.A,2004,1,Donación,Secundaria,B,,1
128,La pregunta de María Rosa,Anna Potter Wright,,,1,Donación,Secundaria,B,1988,1
129,La tía Tula,Miguel de Unamuno,E. CULTURA PERUANA,2007,1,Donación,Secundaria,B,2008,1
130,Paco Yunque,César Vallejo,E. GRAFICAS,2008,1,Donación,Secundaria,B,2008,1
131,Todas las sangres,José María Arguedas,E. PEISA,1983,1,Donación,Secundaria,B,2008,1
132,Don Quijote de la Mancha II,Miguel de Cervantes Saavedra,E. SANTILLANA,1980,1,Donación,Secundaria,B,2008,1
133,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,E. NAVARRETE,1987,1,Donación,Secundaria,B,1997,1
134,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,E. MERCURIO S.A,,1,Donación,Secundaria,C,2008,1
135,Lentillas,Manuel Gonzales Prada,E. MILLA BATRES,1975,1,Donación,Secundaria,B,1988,1
136,Marianela,Benito Pérez Galdós,E. SANTILLANA,1980,1,Donación,Secundaria,B,2010,1
137,María,Jorge Isaacs,PANAMERICANA,1995,1,Donación,Secundaria,B,2008,1
138,María,Jorge Isaacs,E. MANTARO,1994,1,Donación,Secundaria,B,,1
139,Tres novelas ejemplares,Miguel de Cervantes Saavedra,E. NORMA,2005,1,Donación,Secundaria,A,2005,1
140,El corralón,Alberto Tocunaga Ortiz,E. PALMA S.R.L.,1984,1,Donación,Secundaria,B,2008,1
141,"El mejor alcalde, el rey",Lope de Vega,E. OCEANO,,1,Donación,Secundaria,B,2005,1
142,Redobles por Rancas,Manuel Scorza,E. PEISA,1996,1,Donación,Secundaria,A,1999,1
143,Historias de cronopios y de famas,Julio Cortázar,E. SANTILLANA,2000,1,Donación,Secundaria,B,2005,1
144,Antología,José Santos Chocano,E. RIVERA,2002,1,Donación,Secundaria,B,2008,1
145,Ana Karenina II,León Tolsti,E. SOL 90,2004,1,Donación,Secundaria,B,2008,1
146,Don Quijote de la Mancha II,Miguel de Cervantes Saavedra,E. SOL 90,2004,1,Donación,Secundaria,B,2008,2
147,Don Quijote de la Mancha I,Miguel de Cervantes Saavedra,E. SOL 90,2004,1,Donación,Secundaria,B,2008,1
148,Don Quijote de la Mancha III,Miguel de Cervantes Saavedra,E. SANTILLANA,1980,1,Donación,Secundaria,B,2008,1
149,Don Quijote de la Mancha IV,Miguel de Cervantes Saavedra,E. SANTILLANA,1980,1,Donación,Secundaria,B,2008,1
150,El árbol de la ciencia,Pío Baroja,E. CATEDRA,1989,1,Donación,Secundaria,B,1998,1
151,Aventuras de John Davys,Alejandro Dumas,E. RAMON SOPENA,1995,1,Donación,Secundaria,C,1999,1
152,Cuentos Andinos,Enrique López Albújar,E. POPULIBROS PERUANOS,2002,1,Donación,Secundaria,B,2004,1
153,Crónicas del ayer,Virgilio López Calderón,E. AMARILIS INDIANA,2019,1,Donación,Secundaria,B,2023,1
154,Quío,Jaime Onofre Fernández,J.H.O.F,2009,1,Donación,Secundaria,B,,1
155,Tradiciones Peruanas,Ricardo Palma,E. BRASA,1991,1,Donación,Secundaria,C,1994,1
156,Tradiciones Peruanas,Ricardo Palma,E. PEISA,1996,1,Donación,Secundaria,A,1999,1
157,Tradiciones Peruanas,Ricardo Palma,E. NORMA,2005,1,Donación,Secundaria,A,2005,1
158,La guerra del fin del mundo,Mario Vargas Llosa,E. SEIX BARRAL,1984,1,Donación,Secundaria,B,2008,1
159,Los jefes y los cachorros,Mario Vargas Llosa,E. SANTILLANA,2004,1,Donación,Secundaria,B,2008,1
160,La casa verde,Mario Vargas Llosa,E. SEIX BARRAL,1987,1,Donación,Secundaria,B,2008,1
161,La tía Julia y el escribidor,Mario Vargas Llosa,E. SEIX BARRAL,1977,1,Donación,Secundaria,B,2008,1
162,Testimonio de Lucha,Carlos Delgado Olivera,E. PEISA,1973,1,Donación,Secundaria,B,1999,1
163,En sus textos,José Carlos Mariátegui,E. PEISA,1973,1,Donación,Secundaria,B,1998,1
164,Los perros hambrientos,Ciro Alegría,E. BRUÑO,2004,1,Donación,Secundaria,B,2005,1
165,Los perros hambrientos,Ciro Alegría,E. LOSADA,1972,1,Donación,Secundaria,C,1988,1
166,El mundo es ancho y ajeno,Ciro Alegría,E. MANTARO,1996,1,Donación,Secundaria,B,1999,1
167,El mundo es ancho y ajeno,Ciro Alegría,E. PESCADITO,,1,Donación,Secundaria,B,2008,1
168,Ollantay,Anónimo Peruano,E. SANTILLANA,2000,1,Donación,Secundaria,B,2005,1
169,Ollantay,Anónimo Peruano,E. CHIRRE S.A,2005,1,Donación,Secundaria,A,2008,1
170,Ollantay,Anónimo Peruano,E. MANTARO,1996,1,Donación,Secundaria,A,1999,1
171,Ollantay,Anónimo Peruano,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
172,Cuento Peruanos,Luis Yáñez,E. BRUÑO,1991,1,Donación,Secundaria,B,1994,1
173,Cuentos Latinoamericanos,Varios autores,E. ALFAGUARA,1994,1,Donación,Secundaria,B,1994,1
174,Mi planta de naranja - Lima,José Mauro de Vanconcelos,E. EL ATENEO,2005,1,Donación,Secundaria,B,1995,2
175,Collacocha,Enrique Solari Swayne,E. BRUÑO,1992,1,Donación,Secundaria,A,2005,1
176,La ciudad de los tísicos,Abraham Valdelomar,E. PEISA,2005,1,Donación,Secundaria,A,2005,1
177,Horas de lucha,Manuel Gonzales Prada,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
178,Páginas libres,Manuel Gonzales Prada,E. CHIRRE S.A,2005,1,Donación,Secundaria,B,2008,1
179,Pedro Páramo,Juan Rulfo,E. ANAGRAMA,1993,1,Donación,Secundaria,B,2005,1
180,Rabicùn,Patricia Barbadillo,E. SM,1982,1,Donación,Secundaria,B,1998,1
181,La Madre,Máximo Gorki,E. CHIRRE S.A,2005,1,Donación,Secundaria,B,2008,1
182,La serpiente de oro,Ciro Alegría,E. MANTARO,1994,1,Donación,Secundaria,A,1994,1
183,La serpiente de oro,Ciro Alegría,E. EDILIPE JOEL,1994,1,Donación,Secundaria,B,2008,1
184,La serpiente de oro,Ciro Alegría,E. LITERATURA,2003,1,Donación,Secundaria,B,2008,1
185,La serpiente de oro,Ciro Alegría,E. UNIVERSO,1994,1,Donación,Secundaria,C,1988,1
186,Los Ríos Profundos,José María Arguedas,E. HORIZONTE,1993,1,Donación,Secundaria,B,2008,1
187,Viaje al centro de la tierra,Julio Verne,E. SOL 90,2004,1,Donación,Secundaria,B,2008,1
188,La Divina Comedia,Dante Aliguieri,E. SOL 90,2004,1,Donación,Secundaria,B,2008,1
189,El Principe – Lazarillo de Tormes,Maquiavelo – Anonimo,E. SOL 90,2004,1,Donación,Secundaria,B,2008,1
190,Nuestros cuentos,PRONAFCA,GRAFICA KIKE,2011,1,Donación,Secundaria,B,2012,6
191,Caballeros de León,Luis Hernán Mozambite,EMPRESA PERIDISTICA PERU,2002,1,Donación,Secundaria,B,2003,1
192,Mitos y Leyendas de Huánuco,Manuel Nieves Fabián,CENTRO DE ESTUDIOS ANDINOS,1978,1,Donación,Secundaria,C,1999,1
193,Cuentos Andinos,Enrique López Albújar,EMPRESA PERIDISTICA PERU,2002,1,Donación,Secundaria,B,2004,2
194,Cuentos Andinos,Enrique López Albújar,E. EDILIPE JOEL,,1,Donación,Secundaria,B,2008,1
195,El cóndor pasa,José Varallanos,EMPRESA PERIDISTICA PERU,1996,1,Donación,Secundaria,B,2008,1
196,En octubre no hay milagros,Oswaldo Reynoso,E. PEISA,1996,1,Donación,Secundaria,A,1999,1
197,El Hechizo de Tomayquichua,Enrique López Albújar,EMPRESA PERIDISTICA PERU,2003,1,Donación,Secundaria,B,2008,1
198,Autopsia de Huánuco-Tres relatos-Extraño caso de amor,Esteban Pavletich Trujillo,EMPRESA PERIDISTICA PERU,2007,1,Donación,Secundaria,B,2008,1
199,Usted comadre debe acordarse,Andrés Cloud,E. CONVERGENCIA,1986,1,Donación,Secundaria,B,1988,1
200,Breve Antología de la Literatura de Huánuco,Manuel Nieves Fabián,E. LAS AMERICAS,1996,1,Donación,Secundaria,A,2001,1
201,No se suicidan los muertos,Esteban Pavletich Trujillo,EMPRESA PERIDISTICA PERU,2002,1,Donación,Secundaria,B,2003,1
202,El Castillo de Cascón,Elías Franklin Leiva Castañeda,E. LA COLMENA,2003,1,Donación,Secundaria,A,2004,1
203,Matalache,Enrique López Albújar,E. PEISA,2005,1,Donación,Secundaria,A,2005,1
204,Platero y yo,Juan Ramón Jiménez,E. CULTURALES MARFIL,1995,1,Donación,Secundaria,B,2008,1
205,Corazón,Edmundo de De Amicis,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
206,La Ilíada,Homero,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
207,La Ilíada,Homero,E. NAVARRETE,2007,1,Donación,Secundaria,B,2008,1
208,La Odisea,Homero,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
209,Fuente Ovejuna,Lope de Vega,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
210,Crimen y castigo,Fiódor Dostoyevski,E. CHIRRE S.A,,1,Donación,Secundaria,B,2008,1
211,Trilce,César Vallejo,E. CULTURA PERUANA,2007,1,Donación,Secundaria,B,2008,1
212,El Tungsteno,César Vallejo,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
213,El caballero Carmelo,Abraham Valdelomar,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
214,La venganza del cóndor,Venturo García Calderón,E. CULTURA PERUANA,2000,1,Donación,Secundaria,B,2008,2
215,Los Heraldos Negros,César Vallejo,E. CULTURA PERUANA,2005,1,Donación,Secundaria,B,2008,2
216,La cabaña del tío Tom,Harriet Beecher Stowe,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
217,El viejo y el mar,Ernest Hemingway,E. MV FENIX,,1,Donación,Secundaria,B,2008,1
218,Agua,José María Arguedas,LITERATURA PERUANA,2005,1,Donación,Secundaria,B,2008,1
219,Agua,José María Arguedas,E. IMPACTO CULTURAL,,1,Donación,Secundaria,B,2022,1
220,Poemas humanos,César Vallejo,E. CULTURA PÈRUANA,2006,1,Donación,Secundaria,B,2008,1
221,Emilio,Jean-Jacques Rousseau,E. CULTURA PERUANA,2002,1,Donación,Secundaria,B,2008,1
222,Tradiciones Cuzqueñas,Clorinda Matto de Turner,E. ALMEN,,1,Donación,Secundaria,B,2008,1
223,Edipo Rey,Sófocles,E. TORIBIO ANYOLIN,,1,Donación,Secundaria,B,2008,1
224,Cuentos Olvidados,José María Arguedas,E. IBERIA S.A.,1973,1,Donación,Secundaria,B,1984,1
225,Peruanos del siglo XX,Jorge Basadre,E. RIKCHAY,1981,1,Donación,Secundaria,B,1999,1
226,Ushanana Jampi y otros cuentos escolares,Enrique López Albújar,E. CULTURA PÈRUANA,2006,1,Donación,Secundaria,B,2008,1
227,Ñacatita,Manuel Ascencio Segura,E. MERCURIO S.A,,1,Donación,Secundaria,C,1998,1
228,Ñacatita,Manuel Ascencio Segura,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
229,El sargento canuto,Manuel Ascencio Segura,E. RUMI,2008,1,Donación,Secundaria,B,2008,1
230,La madre,Máximo Gorki,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
231,Novelas ejemplares,Miguel de Cervantes Saavedra,E. CHIRRE S.A,,1,Donación,Secundaria,B,2008,1
232,Temas de educación,José Carlos Mariátegui,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
233,Hamlet,William Shakespeare,E. NAVARRETE,1993,1,Donación,Secundaria,B,1997,1
234,Hamlet,William Shakespeare,E. CHIRRE S.A,1993,1,Donación,Secundaria,B,1997,1
235,Los jefes y los cachorros,Mario Vargas Llosa,,,22,Donación,Secundaria,B,2014,1
236,Romeo y Julieta,William Shakespeare,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
237,El Principito y otras historias hermosas,Antoine de Saint-Exupéry,E. NAVARRETE,,1,Donación,Secundaria,B,1997,1
238,Comentarios Reales,Garcilazo de la Vega,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
239,Tradiciones Peruanas,Ricardo Palma,E. CHIRRE S.A,2007,1,Donación,Secundaria,B,2008,1
240,Tradiciones Peruanas,Ricardo Palma,E. NAVARRETE,2007,1,Donación,Secundaria,B,2008,1
241,El mundo de Sofía,Jostein Gaarder,E. SIRUELAS,2005,1,Donación,Secundaria,B,2023,1
242,CACTUS,Ulises Robles Freyre,E. SANTA PAULA,1989,1,Donación,Secundaria,B,2010,1
243,Relatos Orales ashaninkas,James Matos Tuesta,QUAD GRAPHICS,2017,1,Donación,Secundaria,B,2018,4
248,Hamlet,William Shakespeare,VICENS VIVES S.A,2001,22,Donación,Secundaria,B,2005,15
249,Archivo Regional de Huánuco,Ricardo Flórez Gutiérrez,REGIONAL DE HUANUCO,2016,2,Donación,Secundaria,B,2018,4
250,La Educación de la Historia de Huánuco,Edgardo Ramos Huamán,,,2,Donación,Secundaria,B,2002,3
251,Historia de Huánuco I,José Varallanos,EMPRESA PERIDISTICA PERU,2002,2,Donación,Secundaria,B,2004,2
252,Historia de Huánuco II,José Varallanos,EMPRESA PERIDISTICA PERU,2002,2,Donación,Secundaria,B,2004,2
253,Huánuco: Etapa Prehispánica,Limber Rivera,DIALOGO S.A,1990,2,Donación,Secundaria,B,2002,5
254,Tomayquichua,Felipe Trujillo Hidalgo,E. CUNTOR HUASY,2002,2,Donación,Secundaria,B,2002,3
